Veld;Label;Formaat;Type;Lijst met mogelijke waarden;Is database veld
admi_num;Administratie;999;integer;;WAAR
arkg_num;Artikel kortingsgroep;>>>9;integer;;WAAR
artg_num;Artikelgroep;>>>9;integer;;WAAR
arti_actief;Actief;ja/nee;logical;;WAAR
arti_afbeelding;Afbeelding;x(256);Afbeelding;;WAAR
arti_arbv;Artikel bestelcodes verkoop;X(8);verzameling;;ONWAAR
arti_artv;Artikel vertalingen;;verzameling;;ONWAAR
arti_backflush;Backflush toegestaan;ja/nee;logical;;WAAR
arti_backflush_afronden;Afronden bij backflush;ja/nee;logical;;WAAR
arti_backflush_uitval;Uitval bij backflush;>>9.99;percentage;;WAAR
arti_bestel_aantal;Bestel aantal;>>>>>9.99-;aantal;;WAAR
arti_bestel_datum;Bestellen op;99-99-9999;datum;;WAAR
arti_bestel_freq_aantal;Bestel om de;>>9;integer;;WAAR
arti_bestel_freq_eenh;Bestel frequentie eenheid;9;integer;Eenmalig,0,Dagen,1,Weken,2,Maanden,3;WAAR
arti_bestelcode;Bestelcode;x(40);character;;WAAR
arti_bestelhoeveelheid;Bestelhoeveelheid;>>>>>9.99;aantal;;WAAR
arti_bestellen;Bestellen;ja/nee;logical;;WAAR
arti_blok_inkoop;Blokkeren inkoop;ja/nee;logical;;WAAR
arti_blok_productie;Blokkeren productie;ja/nee;logical;;WAAR
arti_blok_verkoop;Blokkeren verkoop;ja/nee;logical;;WAAR
arti_btw_aanpasbaar;BTW code aanpasbaar;ja/nee;logical;;WAAR
arti_btw_keuze;BTW keuze;9;integer;Standaard,1,BTW binnenland vrijgesteld,2,BTW binnenland verlegd,3;WAAR
arti_clcm;Calculatie materialen;;verzameling;;ONWAAR
arti_clcr;Calculatie halffabricaten;;verzameling;;ONWAAR
arti_clcr_parent;Calculatie eindproducten;;verzameling;;ONWAAR
arti_code;Artikel;x(40);omschrijving;;WAAR
arti_cred;Offerteaanvraag crediteur;;Meervoudige lijst selectie;;ONWAAR
arti_dienst_verkoop;Verlegde dienst;ja/nee;logical;;WAAR
arti_docs;Document koppelingen;;Documenten;;ONWAAR
arti_eenh_bestelling;Bestellingseenheid;x(5);character;;WAAR
arti_eenh_handel;Handelseenheid;x(5);character;;WAAR
arti_eenh_inkoopfactuur;Inkoopfactuureenheid;x(5);character;;WAAR
arti_eenh_ontvangst;Ontvangsteenheid;x(5);character;;WAAR
arti_eenh_prijs_inkoop;Eenheid inkoopprijs;x(5);character;;WAAR
arti_eenh_prijs_verkoop;Eenheid verkoopprijs;x(5);character;;WAAR
arti_eenh_productie;Productieeenheid;x(5);character;;WAAR
arti_eenh_uitgifte;Uitgifteeenheid;x(5);character;;WAAR
arti_eenh_vrd;Voorraadeenheid;x(5);character;;WAAR
arti_eenh_vrk;Verkoopeenheid;x(5);character;;WAAR
arti_fctr;Verkoopfactuur regels;;verzameling;;ONWAAR
arti_fctr_fy;Factuurregels boekjaar;;verzameling;;ONWAAR
arti_fmut;Financiele mutaties;;verzameling;;ONWAAR
arti_gewicht;Gewicht;>>>>>9.9999-;decimal;;WAAR
arti_gewicht_per_m;Gewicht/meter;>>>>>>>>>>>9.999999-;decimal;;ONWAAR
arti_handelslengte;Handelslengte;>>>>>9.99;decimal;;WAAR
arti_ict_fact_inkoop;Intrastat opslag inkoop;>>9.99;percentage;;WAAR
arti_ict_fact_verkoop;Intrastat opslag verkoop;>>9.99;percentage;;WAAR
arti_ifcr;Inkoopfactuur regels;;verzameling;;ONWAAR
arti_inkoop_artikel;Inkoop artikel;ja/nee;logical;;WAAR
arti_inkoopofferte;Offerte aanvragen;9;integer;Default,0,Ja,1,Nee,2;WAAR
arti_iorr;Inkooporder regels;;verzameling;;ONWAAR
arti_iorr_fy;Inkooporderregels boekjaar;;verzameling;;ONWAAR
arti_iorr_historisch;Inkooporder regels historisch;;verzameling;;ONWAAR
arti_ipaa;Inkoop prijsafspraken;;verzameling;;ONWAAR
arti_keuren;Keuren;ja/nee;logical;;WAAR
arti_kosten_artikel;Kosten artikel;ja/nee;logical;;WAAR
arti_kostprijssysteem;Kostprijssysteem;9;integer;Vaste verrekenprijs,1,Gemiddelde verrekenprijs,2,Werkelijke verrekenprijs,3;WAAR
arti_levertijd_inkoop;Levertijd inkoop;>>>9;integer;;WAAR
arti_levertijd_productie;Levertijd productie;>>>9;integer;;WAAR
arti_levertijd_verkoop;Interne handlingstijd;>>>9;integer;;WAAR
arti_lijst_1;Lijst 1;yes/no;logical;;WAAR
arti_lijst_2;Lijst 2;yes/no;logical;;WAAR
arti_lijst_3;Lijst 3;yes/no;logical;;WAAR
arti_lijst_4;Lijst 4;yes/no;logical;;WAAR
arti_lijst_5;Lijst 5;yes/no;logical;;WAAR
arti_lijst_6;Lijst 6;yes/no;logical;;WAAR
arti_lijst_7;Lijst 7;yes/no;logical;;WAAR
arti_lijst_8;Lijst 8;yes/no;logical;;WAAR
arti_lijst_9;Lijst 9;yes/no;logical;;WAAR
arti_locatie;Locatie;x(20);character;;WAAR
arti_locatie_beheer;Gesloten locatie beheer;ja/nee;logical;;WAAR
arti_magl_keuren;Magazijnlocatie voor keuren;x(10);character;;WAAR
arti_mat_lengte;Materiaal lengte;>>>>>9.99;decimal;;WAAR
arti_matb_num_1;Behandeling 1;>9;integer;;WAAR
arti_matb_num_2;Behandeling 2;>9;integer;;WAAR
arti_matb_num_3;Behandeling 3;>9;integer;;WAAR
arti_matb_oms_1;Omschrijving beh 1;x(40);omschrijving;;WAAR
arti_matb_oms_2;Omschrijving beh 2;x(40);omschrijving;;WAAR
arti_matb_oms_3;Omschrijving beh 3;x(40);omschrijving;;WAAR
arti_matb_prijs_1;Prijs beh 1;>>>,>>>,>>9.99-;bedrag;;WAAR
arti_matb_prijs_2;Prijs beh 2;>>>,>>>,>>9.99-;bedrag;;WAAR
arti_matb_prijs_3;Prijs beh 3;>>>,>>>,>>9.99-;bedrag;;WAAR
arti_matb_prijs_eenh_1;Prijs eenheid beh 1;x(5);character;;WAAR
arti_matb_prijs_eenh_2;Prijs eenheid beh 2;x(5);character;;WAAR
arti_matb_prijs_eenh_3;Prijs eenheid beh 3;x(5);character;;WAAR
arti_memo_inkoop_extern;Inkoop extern;x(2500);memo;;WAAR
arti_memo_inkoop_intern;Inkoop intern;x(2500);memo;;WAAR
arti_memo_productie;Productie memo;x(2500);memo;;WAAR
arti_memo_verkoop_extern;Verkoop extern;x(2500);memo;;WAAR
arti_memo_verkoop_intern;Verkoop intern;x(2500);memo;;WAAR
arti_niet_autores;Autoreserveren niet toestaan;ja/nee;logical;;WAAR
arti_oms_1;Omschrijving;x(40);omschrijving;;WAAR
arti_oms_2;Omschrijving 2;x(40);omschrijving;;WAAR
arti_oms_3;Omschrijving 3;x(40);omschrijving;;WAAR
arti_oppervlakte;Oppervlakte;>>>>>>>>>>>9.999999-;character;;ONWAAR
arti_pamt;Partij mutaties;X(8);verzameling;;ONWAAR
arti_pamt_financiele_voorraad;Financiele voorraad;;verzameling;;ONWAAR
arti_parameter_1;P1;>>>>>9.99;decimal;;WAAR
arti_parameter_2;P2;>>>>>9.99;decimal;;WAAR
arti_parameter_3;P3;>>>>>9.99;decimal;;WAAR
arti_parameter_4;P4;>>>>>9.99;decimal;;WAAR
arti_parameter_5;P5;>>>>>9.99;decimal;;WAAR
arti_part;Partijen;;verzameling;;ONWAAR
arti_partij;Gesloten partij registratie;ja/nee;logical;;WAAR
arti_partij_per_1;Partijen per 1 vrd eenheid;ja/nee;logical;;WAAR
arti_pkbr;Verkooporder pakbonregels;;verzameling;;ONWAAR
arti_pmld;Meldingen;X(8);verzameling;;ONWAAR
arti_pos;Pos;x(10);character;;WAAR
arti_prdr;Productie halffabricaten;;verzameling;;ONWAAR
arti_prdr_fy;Productieorderregels boekjaar;;verzameling;;ONWAAR
arti_prdr_parent;Productie eindproducten;;verzameling;;ONWAAR
arti_prijs_calculatie;Calculatieprijs;>>>,>>>,>>9.99-;bedrag;;WAAR
arti_prijs_gemiddeld;Gemiddelde verrekenprijs;>>>,>>>,>>9.99-;bedrag;;WAAR
arti_prijs_gemiddeld_mach;Gemiddelde verrekenprijs mach;>>>,>>>,>>9.99-;bedrag;;WAAR
arti_prijs_gemiddeld_man;Gemiddelde verrekenprijs man;>>>,>>>,>>9.99-;bedrag;;WAAR
