Veld;Label;Formaat;Type;Lijst met mogelijke waarden;Is database veld
gebr_aanm_menu;Aanmaken menu's;ja/nee;logical;;WAAR
gebr_actief;Actief;ja/nee;logical;;WAAR
gebr_actief_in_activiteiten;Actief binnen activiteiten;ja/nee;logical;;WAAR
gebr_actief_in_meldingen;Actief binnen meldingen;ja/nee;logical;;WAAR
gebr_alle_uren_beheren;Mag alle uren beheren;ja/nee;logical;;WAAR
gebr_auab;Autorisatie administratie en boekjaar;x(80);verzameling;;ONWAAR
gebr_backup_meld;Toon backup waarschuwing;ja/nee;logical;;WAAR
gebr_backup_optie;Mag backup maken;ja/nee;logical;;WAAR
gebr_beheerder;Beheerder;ja/nee;logical;;WAAR
gebr_blok_live;Geblokkeerd voor de live omgeving;ja/nee;logical;;WAAR
gebr_code;Aanmeldnaam;x(20);character;;WAAR
gebr_debi_info;Debiteur infoscherm actief;ja/nee;logical;;WAAR
gebr_doc_beheer;Mag documenten koppelen;ja/nee;logical;;WAAR
gebr_grpn;Groepen;x(80);Meervoudige lijst selectie;;ONWAAR
gebr_licentie_meld;Toon licentie waarschuwing;ja/nee;logical;;WAAR
gebr_licentie_meld_dagen;Melding binnen hoeveel dagen?;>9;integer;;WAAR
gebr_limiet_overschrijden;Mag kredietbewaking overschrijden;ja/nee;logical;;WAAR
gebr_logb;Logboek van de gebruiker;;verzameling;;ONWAAR
gebr_login_optie;Toon het login optie scherm;ja/nee;logical;;WAAR
gebr_login_wijzig_wachtwoord;Wijzig wachtwoord bij inloggen;ja/nee;logical;;WAAR
gebr_medw;Gekoppelde medewerkers;X(8);verzameling;;ONWAAR
gebr_memo;Memo;x(2500);memo;;WAAR
gebr_naam;Naam;x(40);omschrijving;;WAAR
gebr_onderschrift_1;Onderschrift;x(40);omschrijving;;WAAR
gebr_onderschrift_2;Onderschrift 2;x(40);omschrijving;;WAAR
gebr_outlook;Entra gebruiker;x(256);omschrijving;;WAAR
gebr_password_date;Datum wijziging wachtwoord;99-99-9999;datum;;WAAR
gebr_portal_active;Eigen portal inlog;ja/nee;logical;;WAAR
